year,Q5_student or not,Q29_yearly compensation,Q11_coding years
2020,,"40,000-49,999",3-5 years
2020,,,
2020,,$0-999,3-5 years
2020,,"5,000-7,499",1-2 years
2020,,"60,000-69,999",3-5 years
2020,,,3-5 years
2020,,,1-2 years
2020,,,
2020,,,1-2 years
2020,,,3-5 years
2020,,,1-2 years
2020,,"1,000-1,999",1-2 years
2020,,,1-2 years
2020,,,3-5 years
2020,,"> $500,000",10-20 years
2020,,,I have never written code
2020,,"15,000-19,999",5-10 years
2020,,,1-2 years
2020,,$0-999,3-5 years
2020,,,3-5 years
2020,,"20,000-24,999",5-10 years
2020,,,< 1 years
2020,,,
2020,,$0-999,< 1 years
2020,,"150,000-199,999",20+ years
2020,,"25,000-29,999",10-20 years
2020,,,3-5 years
2020,,"50,000-59,999",20+ years
2020,,,1-2 years
2020,,"25,000-29,999",10-20 years
2020,,,3-5 years
2020,,"125,000-149,999",3-5 years
2020,,$0-999,3-5 years
2020,,,
2020,,"125,000-149,999",< 1 years
2020,,"100,000-124,999",5-10 years
2020,,,3-5 years
2020,,"125,000-149,999",5-10 years
2020,,"30,000-39,999",10-20 years
2020,,"15,000-19,999",5-10 years
2020,,"50,000-59,999",20+ years
2020,,,
2020,,,I have never written code
2020,,$0-999,1-2 years
2020,,,< 1 years
2020,,,< 1 years
2020,,"4,000-4,999",1-2 years
2020,,,< 1 years
2020,,"50,000-59,999",10-20 years
2020,,,< 1 years
2020,,,5-10 years
2020,,,
2020,,"20,000-24,999",20+ years
2020,,,
2020,,"100,000-124,999",5-10 years
2020,,,1-2 years
2020,,"50,000-59,999",10-20 years
2020,,,< 1 years
2020,,,3-5 years
2020,,,
2020,,,
2020,,"60,000-69,999",5-10 years
2020,,,3-5 years
2020,,,< 1 years
2020,,,< 1 years
2020,,"15,000-19,999",I have never written code
2020,,$0-999,< 1 years
2020,,,3-5 years
2020,,,I have never written code
2020,,,3-5 years
2020,,"1,000-1,999",1-2 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,3-5 years
2020,,"1,000-1,999",I have never written code
2020,,"5,000-7,499",1-2 years
2020,,,5-10 years
2020,,"40,000-49,999",5-10 years
2020,,"150,000-199,999",5-10 years
2020,,,
2020,,,I have never written code
2020,,"80,000-89,999",3-5 years
2020,,,1-2 years
2020,,,5-10 years
2020,,"30,000-39,999",1-2 years
2020,,"80,000-89,999",1-2 years
2020,,,1-2 years
2020,,,3-5 years
2020,,$0-999,1-2 years
2020,,,I have never written code
2020,,$0-999,3-5 years
2020,,"80,000-89,999",10-20 years
2020,,$0-999,3-5 years
2020,,,10-20 years
2020,,"80,000-89,999",I have never written code
2020,,"40,000-49,999",3-5 years
2020,,"80,000-89,999",3-5 years
2020,,,3-5 years
2020,,,3-5 years
2020,,"7,500-9,999",3-5 years
2020,,"20,000-24,999",10-20 years
2020,,,
2020,,,< 1 years
2020,,"100,000-124,999",10-20 years
2020,,"15,000-19,999",1-2 years
2020,,$0-999,3-5 years
2020,,,
2020,,$0-999,20+ years
2020,,"20,000-24,999",< 1 years
2020,,,3-5 years
2020,,,< 1 years
2020,,,5-10 years
2020,,"1,000-1,999",< 1 years
2020,,,3-5 years
2020,,,10-20 years
2020,,"40,000-49,999",5-10 years
2020,,,
2020,,,5-10 years
2020,,"1,000-1,999",1-2 years
2020,,,5-10 years
2020,,"2,000-2,999",< 1 years
2020,,,< 1 years
2020,,$0-999,< 1 years
2020,,"90,000-99,999",3-5 years
2020,,,5-10 years
2020,,,< 1 years
2020,,,1-2 years
2020,,"25,000-29,999",3-5 years
2020,,,3-5 years
2020,,,1-2 years
2020,,,3-5 years
2020,,"90,000-99,999",20+ years
2020,,"100,000-124,999",3-5 years
2020,,"3,000-3,999",< 1 years
2020,,,1-2 years
2020,,"10,000-14,999",3-5 years
2020,,,1-2 years
2020,,"100,000-124,999",3-5 years
2020,,,1-2 years
2020,,"15,000-19,999",I have never written code
2020,,,5-10 years
2020,,,< 1 years
2020,,"4,000-4,999",10-20 years
2020,,$0-999,3-5 years
2020,,,3-5 years
2020,,,3-5 years
2020,,$0-999,< 1 years
2020,,$0-999,1-2 years
2020,,,3-5 years
2020,,,3-5 years
2020,,"1,000-1,999",5-10 years
2020,,"40,000-49,999",1-2 years
2020,,"40,000-49,999",3-5 years
2020,,,5-10 years
2020,,,1-2 years
2020,,"60,000-69,999",3-5 years
2020,,$0-999,I have never written code
2020,,,< 1 years
2020,,,3-5 years
2020,,,3-5 years
2020,,,1-2 years
2020,,"15,000-19,999",3-5 years
2020,,"5,000-7,499",< 1 years
2020,,,5-10 years
2020,,,
2020,,"7,500-9,999",3-5 years
2020,,,< 1 years
2020,,"10,000-14,999",< 1 years
2020,,,3-5 years
2020,,"7,500-9,999",1-2 years
2020,,,10-20 years
2020,,,5-10 years
2020,,"100,000-124,999",10-20 years
2020,,"80,000-89,999",20+ years
2020,,,1-2 years
2020,,,1-2 years
2020,,,1-2 years
2020,,$0-999,I have never written code
2020,,,
2020,,"100,000-124,999",I have never written code
2020,,"25,000-29,999",5-10 years
2020,,"60,000-69,999",20+ years
2020,,"2,000-2,999",3-5 years
2020,,$0-999,1-2 years
2020,,$0-999,3-5 years
2020,,,< 1 years
2020,,"150,000-199,999",10-20 years
2020,,,
2020,,"1,000-1,999",3-5 years
2020,,"3,000-3,999",5-10 years
2020,,,1-2 years
2020,,,5-10 years
2020,,"10,000-14,999",3-5 years
2020,,,1-2 years
2020,,,< 1 years
2020,,"15,000-19,999",10-20 years
2020,,"10,000-14,999",3-5 years
2020,,"10,000-14,999",5-10 years
2020,,,1-2 years
2020,,"90,000-99,999",10-20 years
2020,,,
2020,,$0-999,5-10 years
2020,,"100,000-124,999",20+ years
2020,,"50,000-59,999",5-10 years
2020,,,I have never written code
2020,,"30,000-39,999",1-2 years
2020,,$0-999,< 1 years
2020,,,
2020,,"100,000-124,999",< 1 years
2020,,,1-2 years
2020,,,< 1 years
2020,,,5-10 years
2020,,,
2020,,,3-5 years
2020,,$0-999,< 1 years
2020,,"4,000-4,999",< 1 years
2020,,"90,000-99,999",20+ years
2020,,,< 1 years
2020,,$0-999,20+ years
2020,,"60,000-69,999",1-2 years
2020,,,20+ years
2020,,"5,000-7,499",< 1 years
2020,,"2,000-2,999",3-5 years
2020,,,5-10 years
2020,,"10,000-14,999",1-2 years
2020,,,1-2 years
2020,,"150,000-199,999",1-2 years
2020,,"100,000-124,999",5-10 years
2020,,"10,000-14,999",5-10 years
2020,,$0-999,3-5 years
2020,,,10-20 years
2020,,,3-5 years
2020,,,5-10 years
2020,,,1-2 years
2020,,"7,500-9,999",5-10 years
2020,,"20,000-24,999",1-2 years
2020,,,< 1 years
2020,,"150,000-199,999",5-10 years
2020,,,< 1 years
2020,,"7,500-9,999",1-2 years
2020,,"10,000-14,999",I have never written code
2020,,,20+ years
2020,,"25,000-29,999",1-2 years
2020,,"100,000-124,999",10-20 years
2020,,$0-999,10-20 years
2020,,,3-5 years
2020,,"30,000-39,999",5-10 years
2020,,"30,000-39,999",5-10 years
2020,,,1-2 years
2020,,,1-2 years
2020,,"5,000-7,499",3-5 years
2020,,,1-2 years
2020,,,< 1 years
2020,,,3-5 years
2020,,"80,000-89,999",20+ years
2020,,,1-2 years
2020,,"1,000-1,999",3-5 years
2020,,"40,000-49,999",5-10 years
2020,,"70,000-79,999",10-20 years
2020,,"10,000-14,999",3-5 years
2020,,,3-5 years
2020,,"10,000-14,999",5-10 years
2020,,"7,500-9,999",10-20 years
2020,,"60,000-69,999",1-2 years
2020,,"10,000-14,999",5-10 years
2020,,,10-20 years
2020,,"10,000-14,999",3-5 years
2020,,$0-999,3-5 years
2020,,"100,000-124,999",3-5 years
2020,,,3-5 years
2020,,,3-5 years
2020,,,3-5 years
2020,,$0-999,1-2 years
2020,,"20,000-24,999",3-5 years
2020,,,1-2 years
2020,,"30,000-39,999",20+ years
2020,,"7,500-9,999",3-5 years
2020,,"70,000-79,999",10-20 years
2020,,"100,000-124,999",10-20 years
2020,,,3-5 years
2020,,$0-999,1-2 years
2020,,"90,000-99,999",20+ years
2020,,,< 1 years
2020,,"5,000-7,499",< 1 years
2020,,,1-2 years
2020,,,3-5 years
2020,,,3-5 years
2020,,,3-5 years
2020,,$0-999,3-5 years
2020,,,5-10 years
2020,,"125,000-149,999",3-5 years
2020,,,
2020,,"3,000-3,999",3-5 years
2020,,"3,000-3,999",3-5 years
2020,,"7,500-9,999",1-2 years
2020,,"50,000-59,999",5-10 years
2020,,,< 1 years
2020,,"20,000-24,999",1-2 years
2020,,"100,000-124,999",3-5 years
2020,,"80,000-89,999",1-2 years
2020,,,< 1 years
2020,,"40,000-49,999",10-20 years
2020,,"30,000-39,999",3-5 years
2020,,$0-999,3-5 years
2020,,,3-5 years
2020,,"150,000-199,999",< 1 years
2020,,"20,000-24,999",3-5 years
2020,,"15,000-19,999",1-2 years
2020,,"30,000-39,999",I have never written code
2020,,,1-2 years
2020,,"150,000-199,999",5-10 years
2020,,"2,000-2,999",1-2 years
2020,,,3-5 years
2020,,"250,000-299,999",20+ years
2020,,,3-5 years
2020,,"90,000-99,999",10-20 years
2020,,,5-10 years
2020,,"100,000-124,999",1-2 years
2020,,$0-999,10-20 years
2020,,$0-999,10-20 years
2020,,,3-5 years
2020,,,1-2 years
2020,,"125,000-149,999",3-5 years
2020,,,1-2 years
2020,,,20+ years
2020,,"5,000-7,499",3-5 years
2020,,,
2020,,"70,000-79,999",3-5 years
2020,,"10,000-14,999",10-20 years
2020,,,3-5 years
2020,,"25,000-29,999",20+ years
2020,,,3-5 years
2020,,,5-10 years
2020,,$0-999,< 1 years
2020,,,
2020,,"80,000-89,999",I have never written code
2020,,"10,000-14,999",< 1 years
2020,,"7,500-9,999",I have never written code
2020,,"20,000-24,999",3-5 years
2020,,,< 1 years
2020,,,3-5 years
2020,,"60,000-69,999",I have never written code
2020,,,3-5 years
2020,,,1-2 years
2020,,,< 1 years
2020,,,1-2 years
2020,,"10,000-14,999",1-2 years
2020,,$0-999,< 1 years
2020,,"5,000-7,499",3-5 years
2020,,$0-999,< 1 years
2020,,,5-10 years
2020,,,< 1 years
2020,,,1-2 years
2020,,"50,000-59,999",5-10 years
2020,,"7,500-9,999",10-20 years
2020,,"40,000-49,999",5-10 years
2020,,,3-5 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,3-5 years
2020,,,< 1 years
2020,,,1-2 years
2020,,,5-10 years
2020,,"2,000-2,999",1-2 years
2020,,"7,500-9,999",3-5 years
2020,,$0-999,1-2 years
2020,,"20,000-24,999",1-2 years
2020,,"90,000-99,999",20+ years
2020,,"1,000-1,999",I have never written code
2020,,,1-2 years
2020,,,3-5 years
2020,,"7,500-9,999",1-2 years
2020,,"70,000-79,999",20+ years
2020,,"10,000-14,999",5-10 years
2020,,,< 1 years
2020,,"2,000-2,999",1-2 years
2020,,,1-2 years
2020,,$0-999,1-2 years
2020,,"3,000-3,999",1-2 years
2020,,,3-5 years
2020,,,< 1 years
2020,,,1-2 years
2020,,,5-10 years
2020,,"50,000-59,999",5-10 years
2020,,"40,000-49,999",10-20 years
2020,,,3-5 years
2020,,"250,000-299,999",20+ years
2020,,"30,000-39,999",3-5 years
2020,,,1-2 years
2020,,"30,000-39,999",3-5 years
2020,,"40,000-49,999",3-5 years
2020,,"1,000-1,999",5-10 years
2020,,"60,000-69,999",5-10 years
2020,,"3,000-3,999",20+ years
2020,,"20,000-24,999",5-10 years
2020,,,1-2 years
2020,,,5-10 years
2020,,"7,500-9,999",5-10 years
2020,,"15,000-19,999",3-5 years
2020,,"7,500-9,999",< 1 years
2020,,"1,000-1,999",1-2 years
2020,,,I have never written code
2020,,,1-2 years
2020,,,3-5 years
2020,,"3,000-3,999",1-2 years
2020,,"5,000-7,499",3-5 years
2020,,"40,000-49,999",1-2 years
2020,,,I have never written code
2020,,,I have never written code
2020,,"5,000-7,499",I have never written code
2020,,"30,000-39,999",1-2 years
2020,,"125,000-149,999",10-20 years
2020,,$0-999,< 1 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,
2020,,"7,500-9,999",5-10 years
2020,,"125,000-149,999",20+ years
2020,,,1-2 years
2020,,"40,000-49,999",5-10 years
2020,,,3-5 years
2020,,,1-2 years
2020,,"40,000-49,999",20+ years
2020,,,
2020,,,< 1 years
2020,,,< 1 years
2020,,,< 1 years
2020,,"50,000-59,999",5-10 years
2020,,"15,000-19,999",< 1 years
2020,,,3-5 years
2020,,,1-2 years
2020,,$0-999,1-2 years
2020,,"2,000-2,999",< 1 years
2020,,,3-5 years
2020,,,< 1 years
2020,,"40,000-49,999",3-5 years
2020,,$0-999,5-10 years
2020,,,< 1 years
2020,,"90,000-99,999",10-20 years
2020,,"7,500-9,999",3-5 years
2020,,"70,000-79,999",< 1 years
2020,,"30,000-39,999",< 1 years
2020,,"90,000-99,999",20+ years
2020,,"30,000-39,999",1-2 years
2020,,,< 1 years
2020,,"80,000-89,999",< 1 years
2020,,,I have never written code
2020,,"25,000-29,999",3-5 years
2020,,,3-5 years
2020,,"15,000-19,999",5-10 years
2020,,"5,000-7,499",5-10 years
2020,,,
2020,,,1-2 years
2020,,$0-999,I have never written code
2020,,,< 1 years
2020,,$0-999,1-2 years
2020,,,
2020,,,3-5 years
2020,,,3-5 years
2020,,,1-2 years
2020,,,
2020,,"15,000-19,999",3-5 years
2020,,"100,000-124,999",5-10 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,3-5 years
2020,,"3,000-3,999",< 1 years
2020,,"60,000-69,999",20+ years
2020,,,1-2 years
2020,,"60,000-69,999",10-20 years
2020,,,1-2 years
2020,,,3-5 years
2020,,"20,000-24,999",1-2 years
2020,,,3-5 years
2020,,"5,000-7,499",3-5 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,< 1 years
2020,,"30,000-39,999",5-10 years
2020,,,3-5 years
2020,,,1-2 years
2020,,,1-2 years
2020,,"50,000-59,999",1-2 years
2020,,,
2020,,,< 1 years
2020,,"125,000-149,999",3-5 years
2020,,,< 1 years
2020,,$0-999,3-5 years
2020,,"150,000-199,999",1-2 years
2020,,"70,000-79,999",20+ years
2020,,$0-999,3-5 years
2020,,"7,500-9,999",1-2 years
2020,,"80,000-89,999",I have never written code
2020,,$0-999,20+ years
2020,,"15,000-19,999",3-5 years
2020,,$0-999,I have never written code
2020,,,1-2 years
2020,,"50,000-59,999",1-2 years
2020,,,1-2 years
2020,,"> $500,000",3-5 years
2020,,,3-5 years
2020,,"15,000-19,999",5-10 years
2020,,"60,000-69,999",20+ years
2020,,"3,000-3,999",1-2 years
2020,,,< 1 years
2020,,,
2020,,$0-999,5-10 years
2020,,"60,000-69,999",20+ years
2020,,,1-2 years
2020,,,< 1 years
2020,,,< 1 years
2020,,,5-10 years
2020,,$0-999,1-2 years
2020,,,
2020,,"1,000-1,999",< 1 years
2020,,"100,000-124,999",10-20 years
2020,,,< 1 years
2020,,$0-999,10-20 years
2020,,"1,000-1,999",1-2 years
2020,,"40,000-49,999",10-20 years
2020,,,
2020,,,3-5 years
2020,,,1-2 years
2020,,"20,000-24,999",3-5 years
2020,,$0-999,I have never written code
2020,,,
2020,,"3,000-3,999",1-2 years
2020,,,5-10 years
2020,,,
2020,,"4,000-4,999",< 1 years
2020,,,3-5 years
2020,,"20,000-24,999",5-10 years
2020,,$0-999,1-2 years
2020,,"3,000-3,999",< 1 years
2020,,"50,000-59,999",10-20 years
2020,,,1-2 years
2020,,,20+ years
2020,,"40,000-49,999",1-2 years
2020,,,< 1 years
2020,,,< 1 years
2020,,,< 1 years
2020,,,1-2 years
2020,,,< 1 years
2020,,,3-5 years
2020,,,3-5 years
2020,,"5,000-7,499",I have never written code
2020,,,3-5 years
2020,,,1-2 years
2020,,"4,000-4,999",5-10 years
2020,,"30,000-39,999",3-5 years
2020,,"10,000-14,999",10-20 years
2020,,"25,000-29,999",I have never written code
2020,,"70,000-79,999",5-10 years
2020,,"5,000-7,499",1-2 years
2020,,$0-999,20+ years
2020,,"5,000-7,499",< 1 years
2020,,,1-2 years
2020,,$0-999,< 1 years
2020,,"15,000-19,999",20+ years
2020,,"125,000-149,999",20+ years
2020,,,
2020,,"4,000-4,999",1-2 years
2020,,,5-10 years
2020,,"25,000-29,999",1-2 years
2020,,,< 1 years
2020,,,3-5 years
2020,,$0-999,1-2 years
2020,,"15,000-19,999",3-5 years
2020,,"15,000-19,999",5-10 years
2020,,"100,000-124,999",20+ years
2020,,"15,000-19,999",< 1 years
2020,,,
2020,,,< 1 years
2020,,,20+ years
2020,,,
2020,,,3-5 years
2020,,"2,000-2,999",< 1 years
2020,,,1-2 years
2020,,"50,000-59,999",1-2 years
2020,,,< 1 years
2020,,,3-5 years
2020,,"300,000-500,000",20+ years
2020,,,
2020,,$0-999,I have never written code
2020,,"15,000-19,999",10-20 years
2020,,"1,000-1,999",1-2 years
2020,,"15,000-19,999",5-10 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,3-5 years
2020,,,< 1 years
2020,,,10-20 years
2020,,$0-999,1-2 years
2020,,,5-10 years
2020,,$0-999,1-2 years
2020,,,3-5 years
2020,,"125,000-149,999",1-2 years
2020,,"10,000-14,999",5-10 years
2020,,"150,000-199,999",20+ years
2020,,"50,000-59,999",5-10 years
2020,,,1-2 years
2020,,,3-5 years
2020,,,3-5 years
2020,,,
2020,,"125,000-149,999",10-20 years
2020,,,1-2 years
2020,,"100,000-124,999",5-10 years
2020,,,< 1 years
2020,,"5,000-7,499",3-5 years
2020,,"40,000-49,999",1-2 years
2020,,"2,000-2,999",< 1 years
2020,,"40,000-49,999",20+ years
2020,,"10,000-14,999",1-2 years
2020,,$0-999,1-2 years
2020,,"7,500-9,999",3-5 years
2020,,,3-5 years
2020,,,3-5 years
2020,,,
2020,,"200,000-249,999",20+ years
2020,,"10,000-14,999",3-5 years
2020,,,< 1 years
2020,,"50,000-59,999",10-20 years
2020,,,< 1 years
2020,,,3-5 years
2020,,,1-2 years
2020,,,I have never written code
2020,,$0-999,1-2 years
2020,,"100,000-124,999",5-10 years
2020,,,20+ years
2020,,$0-999,3-5 years
2020,,"40,000-49,999",20+ years
2020,,,
2020,,"3,000-3,999",5-10 years
2020,,"60,000-69,999",5-10 years
2020,,"7,500-9,999",10-20 years
2020,,,1-2 years
2020,,,3-5 years
2020,,$0-999,3-5 years
2020,,"4,000-4,999",10-20 years
2020,,,1-2 years
2020,,"7,500-9,999",3-5 years
2020,,,1-2 years
2020,,,
2020,,"30,000-39,999",5-10 years
2020,,"25,000-29,999",3-5 years
2020,,"200,000-249,999",5-10 years
2020,,"10,000-14,999",< 1 years
2020,,$0-999,3-5 years
2020,,"50,000-59,999",5-10 years
2020,,"30,000-39,999",20+ years
2020,,"10,000-14,999",< 1 years
2020,,"25,000-29,999",3-5 years
2020,,"2,000-2,999",20+ years
2020,,,3-5 years
2020,,,1-2 years
2020,,$0-999,10-20 years
2020,,$0-999,< 1 years
2020,,"25,000-29,999",5-10 years
2020,,"40,000-49,999",3-5 years
2020,,,< 1 years
2020,,$0-999,< 1 years
2020,,"4,000-4,999",3-5 years
2020,,"90,000-99,999",20+ years
2020,,,5-10 years
2020,,"40,000-49,999",20+ years
2020,,$0-999,1-2 years
2020,,"90,000-99,999",10-20 years
2020,,"1,000-1,999",1-2 years
2020,,"1,000-1,999",1-2 years
2020,,"125,000-149,999",3-5 years
2020,,"4,000-4,999",10-20 years
2020,,,< 1 years
2020,,,1-2 years
2020,,"40,000-49,999",3-5 years
2020,,"5,000-7,499",3-5 years
2020,,"4,000-4,999",1-2 years
2020,,"60,000-69,999",20+ years
2020,,,
2020,,$0-999,1-2 years
2020,,,I have never written code
2020,,,20+ years
2020,,"7,500-9,999",3-5 years
2020,,,5-10 years
2020,,"60,000-69,999",10-20 years
2020,,,5-10 years
2020,,,< 1 years
2020,,,< 1 years
2020,,"300,000-500,000",5-10 years
2020,,,3-5 years
2020,,"70,000-79,999",10-20 years
2020,,"30,000-39,999",1-2 years
2020,,"50,000-59,999",10-20 years
2020,,"1,000-1,999",3-5 years
2020,,"5,000-7,499",5-10 years
2020,,,< 1 years
2020,,,< 1 years
2020,,,1-2 years
2020,,"25,000-29,999",1-2 years
2020,,"10,000-14,999",< 1 years
2020,,,3-5 years
2020,,"10,000-14,999",1-2 years
2020,,"60,000-69,999",5-10 years
2020,,"1,000-1,999",I have never written code
2020,,,3-5 years
2020,,"40,000-49,999",< 1 years
2020,,$0-999,3-5 years
2020,,"15,000-19,999",1-2 years
2020,,,3-5 years
2020,,"30,000-39,999",I have never written code
2020,,,1-2 years
2020,,"15,000-19,999",20+ years
2020,,,20+ years
2020,,,3-5 years
2020,,,< 1 years
2020,,"10,000-14,999",1-2 years
2020,,"250,000-299,999",20+ years
2020,,,1-2 years
2020,,"150,000-199,999",5-10 years
2020,,"1,000-1,999",I have never written code
2020,,"7,500-9,999",1-2 years
2020,,,20+ years
2020,,,3-5 years
2020,,"60,000-69,999",1-2 years
2020,,"10,000-14,999",< 1 years
2020,,"100,000-124,999",5-10 years
2020,,$0-999,< 1 years
2020,,,I have never written code
2020,,,I have never written code
2020,,,1-2 years
2020,,"10,000-14,999",3-5 years
2020,,,5-10 years
2020,,"30,000-39,999",10-20 years
2020,,"60,000-69,999",10-20 years
2020,,,3-5 years
2020,,"2,000-2,999",3-5 years
2020,,"150,000-199,999",10-20 years
2020,,"150,000-199,999",10-20 years
2020,,,
2020,,,1-2 years
2020,,,< 1 years
2020,,"30,000-39,999",< 1 years
2020,,,3-5 years
2020,,,3-5 years
2020,,"10,000-14,999",3-5 years
2020,,$0-999,10-20 years
2020,,"80,000-89,999",1-2 years
2020,,$0-999,3-5 years
2020,,"70,000-79,999",5-10 years
2020,,"10,000-14,999",< 1 years
2020,,"10,000-14,999",< 1 years
2020,,,1-2 years
2020,,"50,000-59,999",10-20 years
2020,,"20,000-24,999",3-5 years
2020,,,3-5 years
2020,,$0-999,< 1 years
2020,,,3-5 years
2020,,"2,000-2,999",3-5 years
2020,,,1-2 years
2020,,,
2020,,,3-5 years
2020,,,1-2 years
2020,,"1,000-1,999",3-5 years
2020,,"50,000-59,999",5-10 years
2020,,,< 1 years
2020,,$0-999,10-20 years
2020,,,3-5 years
2020,,"3,000-3,999",1-2 years
2020,,$0-999,3-5 years
2020,,"4,000-4,999",1-2 years
2020,,"1,000-1,999",1-2 years
2020,,"7,500-9,999",I have never written code
2020,,"7,500-9,999",3-5 years
2020,,,
2020,,"1,000-1,999",< 1 years
2020,,"3,000-3,999",< 1 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,
2020,,"60,000-69,999",5-10 years
2020,,,20+ years
2020,,,1-2 years
2020,,"70,000-79,999",20+ years
2020,,,3-5 years
2020,,"100,000-124,999",3-5 years
2020,,"20,000-24,999",5-10 years
2020,,,3-5 years
2020,,"125,000-149,999",20+ years
2020,,$0-999,1-2 years
2020,,,3-5 years
2020,,$0-999,3-5 years
2020,,$0-999,< 1 years
2020,,,< 1 years
2020,,,1-2 years
2020,,$0-999,3-5 years
2020,,"150,000-199,999",20+ years
2020,,,5-10 years
2020,,"50,000-59,999",1-2 years
2020,,,5-10 years
2020,,"100,000-124,999",10-20 years
2020,,"1,000-1,999",3-5 years
2020,,"100,000-124,999",5-10 years
2020,,"60,000-69,999",5-10 years
2020,,,1-2 years
2020,,$0-999,1-2 years
2020,,$0-999,< 1 years
2020,,"1,000-1,999",< 1 years
2020,,"70,000-79,999",20+ years
2020,,,5-10 years
2020,,,1-2 years
2020,,"10,000-14,999",< 1 years
2020,,"10,000-14,999",1-2 years
2020,,,10-20 years
2020,,,3-5 years
2020,,,10-20 years
2020,,$0-999,20+ years
2020,,,3-5 years
2020,,"40,000-49,999",20+ years
2020,,,I have never written code
2020,,$0-999,3-5 years
2020,,"70,000-79,999",20+ years
2020,,"80,000-89,999",I have never written code
2020,,,10-20 years
2020,,"10,000-14,999",3-5 years
2020,,,< 1 years
2020,,"40,000-49,999",3-5 years
2020,,"5,000-7,499",3-5 years
2020,,"50,000-59,999",20+ years
2020,,,< 1 years
2020,,"60,000-69,999",1-2 years
2020,,,3-5 years
2020,,"4,000-4,999",5-10 years
2020,,"30,000-39,999",5-10 years
2020,,,1-2 years
2020,,"125,000-149,999",20+ years
2020,,,5-10 years
2020,,"4,000-4,999",3-5 years
2020,,,3-5 years
2020,,,1-2 years
2020,,,1-2 years
2020,,,10-20 years
2020,,,3-5 years
2020,,"70,000-79,999",20+ years
2020,,"70,000-79,999",3-5 years
2020,,"25,000-29,999",10-20 years
2020,,"4,000-4,999",3-5 years
2020,,"40,000-49,999",3-5 years
2020,,"30,000-39,999",10-20 years
2020,,"25,000-29,999",3-5 years
2020,,$0-999,< 1 years
2020,,,3-5 years
2020,,,
2020,,"4,000-4,999",1-2 years
2020,,,1-2 years
2020,,"125,000-149,999",3-5 years
2020,,"1,000-1,999",3-5 years
2020,,"80,000-89,999",I have never written code
2020,,,1-2 years
2020,,,< 1 years
2020,,,3-5 years
2020,,"40,000-49,999",3-5 years
2020,,"90,000-99,999",< 1 years
2020,,,< 1 years
2020,,,< 1 years
2020,,,3-5 years
2020,,$0-999,3-5 years
2020,,,I have never written code
2020,,,< 1 years
2020,,,5-10 years
