Median,Year,Country
54999.5,2020,India
84999.5,2020,India
64999.5,2020,United Kingdom of Great Britain and Northern Ireland
2499.5,2020,Brazil
44999.5,2020,United States of America
1499.5,2020,India
44999.5,2020,Brazil
224999.5,2020,United States of America
22499.5,2020,India
499.5,2020,United States of America
27499.5,2020,Spain
499.5,2020,India
64999.5,2020,United States of America
499.5,2020,Brazil
54999.5,2020,Japan
12499.5,2020,India
84999.5,2020,United States of America
8749.5,2020,India
6249.5,2020,India
2499.5,2020,United States of America
3499.5,2020,India
499.5,2020,United Kingdom of Great Britain and Northern Ireland
17499.5,2020,India
8749.5,2020,India
34999.5,2020,India
224999.5,2020,India
499.5,2020,Japan
137499.5,2020,United States of America
499.5,2020,Russia
74999.5,2020,United States of America
17499.5,2020,India
8749.5,2020,Russia
54999.5,2020,China
94999.5,2020,United States of America
499.5,2020,India
174999.5,2020,United States of America
54999.5,2020,India
112499.5,2020,Germany
94999.5,2020,United States of America
3499.5,2020,India
4499.5,2020,India
499.5,2020,China
499.5,2020,Nigeria
499.5,2020,United States of America
112499.5,2020,United States of America
44999.5,2020,Spain
22499.5,2020,China
74999.5,2020,Germany
224999.5,2020,United States of America
8749.5,2020,India
94999.5,2020,United States of America
34999.5,2020,Spain
112499.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,India
112499.5,2020,United Kingdom of Great Britain and Northern Ireland
94999.5,2020,Japan
17499.5,2020,Brazil
1499.5,2020,Brazil
174999.5,2020,United States of America
44999.5,2020,United States of America
4499.5,2020,India
17499.5,2020,Russia
174999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,Brazil
22499.5,2020,India
17499.5,2020,Japan
44999.5,2020,United States of America
112499.5,2020,Germany
4499.5,2020,Brazil
12499.5,2020,India
44999.5,2020,Spain
12499.5,2020,China
499.5,2020,India
44999.5,2020,United Kingdom of Great Britain and Northern Ireland
27499.5,2020,India
17499.5,2020,India
12499.5,2020,Russia
4499.5,2020,India
1499.5,2020,Brazil
112499.5,2020,United States of America
499.5,2020,India
137499.5,2020,United States of America
4499.5,2020,India
112499.5,2020,India
27499.5,2020,United States of America
137499.5,2020,United States of America
499.5,2020,United States of America
499.5,2020,Japan
137499.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,Brazil
224999.5,2020,United States of America
499.5,2020,India
400000.0,2020,United States of America
224999.5,2020,United States of America
54999.5,2020,Japan
84999.5,2020,India
44999.5,2020,India
44999.5,2020,United States of America
174999.5,2020,United States of America
1499.5,2020,India
224999.5,2020,United States of America
499.5,2020,India
1499.5,2020,China
12499.5,2020,India
499.5,2020,India
12499.5,2020,India
22499.5,2020,India
499.5,2020,India
4499.5,2020,India
22499.5,2020,Russia
499.5,2020,India
1499.5,2020,India
112499.5,2020,United States of America
74999.5,2020,Germany
54999.5,2020,China
74999.5,2020,Germany
34999.5,2020,India
22499.5,2020,Russia
64999.5,2020,United States of America
499.5,2020,India
137499.5,2020,United States of America
54999.5,2020,Russia
27499.5,2020,India
64999.5,2020,United States of America
4499.5,2020,India
74999.5,2020,United States of America
1499.5,2020,United States of America
499.5,2020,India
34999.5,2020,Russia
499.5,2020,India
6249.5,2020,Brazil
224999.5,2020,India
34999.5,2020,India
94999.5,2020,United States of America
499.5,2020,Spain
174999.5,2020,United States of America
27499.5,2020,India
499.5,2020,India
499.5,2020,India
27499.5,2020,India
94999.5,2020,Germany
2499.5,2020,Brazil
22499.5,2020,Brazil
22499.5,2020,United States of America
94999.5,2020,Germany
137499.5,2020,United States of America
112499.5,2020,China
84999.5,2020,United States of America
274999.5,2020,United States of America
499.5,2020,Russia
84999.5,2020,India
44999.5,2020,United States of America
3499.5,2020,India
34999.5,2020,India
224999.5,2020,United States of America
94999.5,2020,United States of America
1499.5,2020,Brazil
4499.5,2020,India
74999.5,2020,United States of America
499.5,2020,Nigeria
224999.5,2020,United Kingdom of Great Britain and Northern Ireland
1499.5,2020,India
499.5,2020,Nigeria
499.5,2020,Spain
137499.5,2020,United States of America
400000.0,2020,United States of America
112499.5,2020,United States of America
74999.5,2020,Japan
499.5,2020,India
22499.5,2020,India
34999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,India
3499.5,2020,India
27499.5,2020,India
34999.5,2020,Spain
112499.5,2020,United States of America
224999.5,2020,United States of America
499.5,2020,United States of America
17499.5,2020,India
17499.5,2020,China
112499.5,2020,United States of America
1499.5,2020,China
12499.5,2020,India
112499.5,2020,United States of America
499.5,2020,India
64999.5,2020,India
1499.5,2020,Brazil
64999.5,2020,United States of America
137499.5,2020,Germany
54999.5,2020,Spain
224999.5,2020,United States of America
499.5,2020,Nigeria
94999.5,2020,United States of America
64999.5,2020,United Kingdom of Great Britain and Northern Ireland
112499.5,2020,United States of America
64999.5,2020,Russia
499.5,2020,United States of America
174999.5,2020,India
22499.5,2020,United States of America
54999.5,2020,India
94999.5,2020,United Kingdom of Great Britain and Northern Ireland
54999.5,2020,India
499.5,2020,India
499.5,2020,India
27499.5,2020,China
499.5,2020,India
84999.5,2020,Japan
17499.5,2020,Brazil
34999.5,2020,Nigeria
54999.5,2020,United Kingdom of Great Britain and Northern Ireland
64999.5,2020,Spain
17499.5,2020,Brazil
8749.5,2020,India
499.5,2020,India
499.5,2020,Brazil
74999.5,2020,United States of America
84999.5,2020,United Kingdom of Great Britain and Northern Ireland
8749.5,2020,Brazil
112499.5,2020,United States of America
34999.5,2020,Japan
84999.5,2020,Japan
112499.5,2020,United States of America
1499.5,2020,India
499.5,2020,Russia
17499.5,2020,China
22499.5,2020,Russia
44999.5,2020,India
137499.5,2020,United States of America
74999.5,2020,Nigeria
44999.5,2020,United Kingdom of Great Britain and Northern Ireland
174999.5,2020,United States of America
54999.5,2020,India
54999.5,2020,United States of America
8749.5,2020,India
112499.5,2020,United States of America
34999.5,2020,Brazil
17499.5,2020,India
499.5,2020,United States of America
112499.5,2020,United States of America
499.5,2020,Russia
94999.5,2020,United States of America
8749.5,2020,India
3499.5,2020,Nigeria
44999.5,2020,Japan
17499.5,2020,India
74999.5,2020,United States of America
44999.5,2020,United States of America
12499.5,2020,Russia
2499.5,2020,Russia
6249.5,2020,India
499.5,2020,India
94999.5,2020,Japan
6249.5,2020,India
112499.5,2020,United States of America
112499.5,2020,United States of America
54999.5,2020,Germany
112499.5,2020,United States of America
22499.5,2020,Russia
84999.5,2020,United States of America
17499.5,2020,Germany
174999.5,2020,United States of America
64999.5,2020,United States of America
137499.5,2020,United States of America
27499.5,2020,Russia
499.5,2020,China
6249.5,2020,India
34999.5,2020,Germany
1499.5,2020,Russia
6249.5,2020,India
499.5,2020,United States of America
54999.5,2020,India
22499.5,2020,India
4499.5,2020,India
84999.5,2020,United States of America
499.5,2020,India
112499.5,2020,Germany
499.5,2020,India
499.5,2020,China
44999.5,2020,United States of America
44999.5,2020,Japan
3499.5,2020,China
44999.5,2020,India
1499.5,2020,India
499.5,2020,China
499.5,2020,India
499.5,2020,Russia
499.5,2020,India
4499.5,2020,India
112499.5,2020,India
54999.5,2020,India
84999.5,2020,United Kingdom of Great Britain and Northern Ireland
4499.5,2020,India
1499.5,2020,Japan
137499.5,2020,United States of America
6249.5,2020,India
12499.5,2020,India
6249.5,2020,India
174999.5,2020,United States of America
112499.5,2020,India
44999.5,2020,United States of America
44999.5,2020,India
17499.5,2020,Russia
17499.5,2020,India
54999.5,2020,Japan
274999.5,2020,United States of America
44999.5,2020,United States of America
112499.5,2020,United States of America
1499.5,2020,China
84999.5,2020,United States of America
137499.5,2020,Japan
224999.5,2020,United States of America
1499.5,2020,Russia
12499.5,2020,Brazil
224999.5,2020,United States of America
34999.5,2020,United States of America
27499.5,2020,United States of America
6249.5,2020,India
112499.5,2020,United States of America
6249.5,2020,India
4499.5,2020,India
74999.5,2020,United States of America
54999.5,2020,Brazil
499.5,2020,India
499.5,2020,Russia
94999.5,2020,United States of America
22499.5,2020,Russia
54999.5,2020,Germany
17499.5,2020,India
17499.5,2020,India
112499.5,2020,United States of America
112499.5,2020,Japan
74999.5,2020,Germany
112499.5,2020,United States of America
12499.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,Brazil
84999.5,2020,Spain
499.5,2020,India
499.5,2020,Nigeria
54999.5,2020,Japan
499.5,2020,Nigeria
17499.5,2020,Brazil
3499.5,2020,China
74999.5,2020,United Kingdom of Great Britain and Northern Ireland
112499.5,2020,United States of America
1499.5,2020,India
22499.5,2020,Germany
74999.5,2020,United States of America
274999.5,2020,United States of America
34999.5,2020,Spain
12499.5,2020,Brazil
499.5,2020,India
174999.5,2020,United States of America
84999.5,2020,Germany
22499.5,2020,United States of America
224999.5,2020,United States of America
54999.5,2020,Brazil
64999.5,2020,Germany
94999.5,2020,United States of America
400000.0,2020,United States of America
112499.5,2020,United States of America
499.5,2020,Nigeria
44999.5,2020,United Kingdom of Great Britain and Northern Ireland
64999.5,2020,Russia
499.5,2020,India
499.5,2020,Nigeria
174999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,India
34999.5,2020,United States of America
54999.5,2020,Spain
54999.5,2020,United Kingdom of Great Britain and Northern Ireland
44999.5,2020,Spain
3499.5,2020,Nigeria
44999.5,2020,United Kingdom of Great Britain and Northern Ireland
94999.5,2020,United Kingdom of Great Britain and Northern Ireland
22499.5,2020,India
34999.5,2020,India
1499.5,2020,Brazil
22499.5,2020,Brazil
499.5,2020,India
112499.5,2020,United States of America
224999.5,2020,United States of America
1499.5,2020,Brazil
499.5,2020,India
8749.5,2020,India
44999.5,2020,India
12499.5,2020,India
12499.5,2020,India
1499.5,2020,Brazil
12499.5,2020,Russia
137499.5,2020,United States of America
499.5,2020,India
112499.5,2020,United States of America
94999.5,2020,Germany
44999.5,2020,Spain
17499.5,2020,India
499.5,2020,Nigeria
1499.5,2020,India
54999.5,2020,Germany
6249.5,2020,India
174999.5,2020,United States of America
3499.5,2020,Japan
44999.5,2020,United Kingdom of Great Britain and Northern Ireland
112499.5,2020,Spain
84999.5,2020,United States of America
12499.5,2020,India
174999.5,2020,United States of America
12499.5,2020,Spain
8749.5,2020,Russia
499.5,2020,India
499.5,2020,Russia
17499.5,2020,India
4499.5,2020,India
1499.5,2020,India
17499.5,2020,Spain
274999.5,2020,United States of America
84999.5,2020,United States of America
499.5,2020,India
8749.5,2020,India
6249.5,2020,Nigeria
3499.5,2020,India
499.5,2020,India
1499.5,2020,Russia
2499.5,2020,India
17499.5,2020,India
94999.5,2020,Brazil
1499.5,2020,India
499.5,2020,India
8749.5,2020,India
224999.5,2020,United States of America
6249.5,2020,India
27499.5,2020,India
499.5,2020,Russia
34999.5,2020,Russia
112499.5,2020,United States of America
137499.5,2020,India
499.5,2020,United States of America
74999.5,2020,United States of America
4499.5,2020,India
34999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,China
84999.5,2020,United States of America
499.5,2020,India
74999.5,2020,United States of America
12499.5,2020,India
64999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,Russia
54999.5,2020,Spain
12499.5,2020,India
499.5,2020,Nigeria
6249.5,2020,Japan
84999.5,2020,Spain
499.5,2020,Spain
499.5,2020,India
499.5,2020,Germany
137499.5,2020,United States of America
44999.5,2020,United States of America
2499.5,2020,India
22499.5,2020,Russia
112499.5,2020,United States of America
94999.5,2020,India
54999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,India
22499.5,2020,India
64999.5,2020,Japan
400000.0,2020,United States of America
34999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,Brazil
22499.5,2020,India
64999.5,2020,United States of America
94999.5,2020,Japan
174999.5,2020,United States of America
17499.5,2020,Russia
12499.5,2020,Brazil
17499.5,2020,Brazil
12499.5,2020,Spain
499.5,2020,Japan
1499.5,2020,Nigeria
2499.5,2020,India
8749.5,2020,India
137499.5,2020,United States of America
499.5,2020,India
6249.5,2020,India
3499.5,2020,India
4499.5,2020,Nigeria
1499.5,2020,Nigeria
112499.5,2020,United States of America
112499.5,2020,United States of America
6249.5,2020,India
499.5,2020,Russia
499.5,2020,Brazil
1499.5,2020,India
499.5,2020,Brazil
34999.5,2020,India
94999.5,2020,Japan
34999.5,2020,Russia
44999.5,2020,Spain
499.5,2020,India
499.5,2020,China
499.5,2020,China
12499.5,2020,Brazil
54999.5,2020,United Kingdom of Great Britain and Northern Ireland
112499.5,2020,United States of America
74999.5,2020,United States of America
1499.5,2020,India
6249.5,2020,Brazil
54999.5,2020,Brazil
34999.5,2020,India
137499.5,2020,United States of America
54999.5,2020,Spain
112499.5,2020,India
12499.5,2020,India
499.5,2020,Nigeria
137499.5,2020,United States of America
174999.5,2020,United States of America
6249.5,2020,Japan
12499.5,2020,India
174999.5,2020,United States of America
22499.5,2020,Spain
137499.5,2020,United States of America
499.5,2020,India
17499.5,2020,Russia
27499.5,2020,Spain
22499.5,2020,India
34999.5,2020,United States of America
54999.5,2020,India
64999.5,2020,Germany
84999.5,2020,United States of America
499.5,2020,India
34999.5,2020,United Kingdom of Great Britain and Northern Ireland
499.5,2020,Nigeria
44999.5,2020,Brazil
112499.5,2020,United Kingdom of Great Britain and Northern Ireland
54999.5,2020,India
112499.5,2020,United States of America
8749.5,2020,Japan
4499.5,2020,India
4499.5,2020,India
44999.5,2020,Japan
499.5,2020,Nigeria
174999.5,2020,United States of America
499.5,2020,Brazil
6249.5,2020,India
84999.5,2020,United States of America
499.5,2020,Japan
4499.5,2020,India
174999.5,2020,United States of America
84999.5,2020,Germany
499.5,2020,India
44999.5,2020,Japan
6249.5,2020,Russia
27499.5,2020,India
17499.5,2020,India
54999.5,2020,Germany
499.5,2020,Spain
6249.5,2020,India
499.5,2020,India
34999.5,2020,Russia
22499.5,2020,Brazil
1499.5,2020,India
3499.5,2020,India
499.5,2020,India
499.5,2020,United States of America
499.5,2020,India
112499.5,2020,United States of America
499.5,2020,Japan
12499.5,2020,India
224999.5,2020,United States of America
74999.5,2020,United States of America
6249.5,2020,India
64999.5,2020,United Kingdom of Great Britain and Northern Ireland
84999.5,2020,India
22499.5,2020,India
54999.5,2020,United Kingdom of Great Britain and Northern Ireland
6249.5,2020,India
499.5,2020,India
112499.5,2020,United States of America
54999.5,2020,Japan
54999.5,2020,United Kingdom of Great Britain and Northern Ireland
84999.5,2020,India
27499.5,2020,Brazil
94999.5,2020,United States of America
74999.5,2020,India
224999.5,2020,United States of America
499.5,2020,India
6249.5,2020,Brazil
1499.5,2020,Japan
6249.5,2020,Brazil
112499.5,2020,United States of America
112499.5,2020,United States of America
64999.5,2020,United States of America
6249.5,2020,Brazil
64999.5,2020,Russia
